index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
0	main-captions	MSRvid	2012test	0178	none	none	A woman is dancing.	A man is eating.	0.143
1	main-captions	MSRvid	2012test	0205	none	none	A woman is dancing.	A man is talking.	0.000
2	main-captions	MSRvid	2012test	0294	none	none	Someone is feeding a animal.	Someone is playing a piano.	0.000
3	main-captions	MSRvid	2012test	0322	none	none	A man is shooting a gun.	A man is spitting.	0.000
4	main-captions	MSRvid	2012test	0325	none	none	A man is swimming.	A woman is slicing meat.	0.000
5	main-captions	MSRvid	2012test	0351	none	none	A cat is licking a sucker.	A woman is slicing cucumber.	0.000
6	main-captions	MSRvid	2012test	0373	none	none	A man is riding a horse.	A man is playing a keyboard.	0.200
7	main-captions	MSRvid	2012test	0390	none	none	A woman is deveining shrimp.	A man is dancing in rain.	0.000
8	main-captions	MSRvid	2012test	0408	none	none	A man is riding a skateboard.	A woman is cutting a potato.	0.000
9	main-captions	MSRvid	2012test	0409	none	none	A woman is taking a shower.	A man is riding a white horse.	0.000
10	main-captions	MSRvid	2012test	0423	none	none	The woman is peeling shrimp.	The man is holding a lemur.	0.000
11	main-captions	MSRvid	2012test	0439	none	none	A woman is water skiing on a lake.	A man is playing a flute.	0.000
12	main-captions	MSRvid	2012test	0443	none	none	A woman is cutting a cucumber.	A man is playing a guitar.	0.000
13	main-captions	MSRvid	2012test	0460	none	none	A person is cutting a meat.	A person riding a mechanical bull	0.000
14	main-captions	MSRvid	2012test	0461	none	none	A man is playing a violin.	A woman is using a sewing machine.	0.000
15	main-captions	MSRvid	2012test	0469	none	none	A man is smelling two pizzas.	A woman is feeding a man.	0.200
16	main-captions	MSRvid	2012test	0474	none	none	A woman is frying something in the pan.	A man is playing his guitar.	0.000
17	main-captions	MSRvid	2012test	0477	none	none	An elderly woman is pouring oil into a frying pan.	A tied man is putting into water.	0.000
18	main-captions	MSRvid	2012test	0484	none	none	A cat is watching a TV.	A man is slicing a leave.	0.000
19	main-captions	MSRvid	2012test	0490	none	none	A man is playing a guitar.	A woman is dancing.	0.200
20	main-captions	MSRvid	2012test	0498	none	none	A person is riding a horse.	A woman is slicing potatoes.	0.000
21	main-captions	MSRvid	2012test	0499	none	none	A woman is slicing octopus.	A man is playing the guitar.	0.000
22	main-captions	MSRvid	2012test	0500	none	none	A man is breaking water jugs.	A woman is peeling garlic.	0.200
23	main-captions	MSRvid	2012test	0501	none	none	A man is playing a guitar.	A woman is cutting vegetable.	0.000
24	main-captions	MSRvid	2012test	0502	none	none	A girl is eating a cupcake.	A man is slicing a cucumber.	0.000
25	main-captions	MSRvid	2012test	0513	none	none	A boy is pushing a van.	A person is slicing a tomato.	0.000
26	main-captions	MSRvid	2012test	0525	none	none	A woman peels an apple.	A man pops wheelies on a motorcycle.	0.000
27	main-captions	MSRvid	2012test	0526	none	none	A man is taking some math classes.	A man is rinsing a steak.	0.000
28	main-captions	MSRvid	2012test	0537	none	none	A man is playing guitar.	A woman is slicing up some pork.	0.000
29	main-captions	MSRvid	2012test	0546	none	none	A woman is peeling a potato.	A lion is walking around.	0.000
30	main-captions	MSRvid	2012test	0559	none	none	A man is moving a tree limb.	The woman is playing the violin.	0.000
31	main-captions	MSRvid	2012test	0564	none	none	The animal is eating.	A woman is dancing.	0.000
32	main-captions	MSRvid	2012test	0586	none	none	Two puppies are playing with each other.	Some men are playing soccer.	0.200
33	main-captions	MSRvid	2012test	0591	none	none	A couple are walking.	Some men are sawing.	0.000
34	main-captions	MSRvid	2012test	0596	none	none	A man is playing a guitar.	Someone is handling a bun.	0.000
35	main-captions	MSRvid	2012test	0597	none	none	A dog is jumping on a trampoline.	A boy is playing a guitar.	0.000
