index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
0	main-captions	MSRvid	2012test	0001	none	none	A plane is taking off.	An air plane is taking off.	5.000
1	main-captions	MSRvid	2012test	0004	none	none	A man is playing a large flute.	A man is playing a flute.	3.800
2	main-captions	MSRvid	2012test	0005	none	none	A man is spreading shreded cheese on a pizza.	A man is spreading shredded cheese on an uncooked pizza.	3.800
3	main-captions	MSRvid	2012test	0006	none	none	Three men are playing chess.	Two men are playing chess.	2.600
4	main-captions	MSRvid	2012test	0009	none	none	A man is playing the cello.	A man seated is playing the cello.	4.250
5	main-captions	MSRvid	2012test	0011	none	none	Some men are fighting.	Two men are fighting.	4.250
6	main-captions	MSRvid	2012test	0012	none	none	A man is smoking.	A man is skating.	0.500
7	main-captions	MSRvid	2012test	0013	none	none	The man is playing the piano.	The man is playing the guitar.	1.600
8	main-captions	MSRvid	2012test	0014	none	none	A man is playing on a guitar and singing.	A woman is playing an acoustic guitar and singing.	2.200
9	main-captions	MSRvid	2012test	0016	none	none	A person is throwing a cat on to the ceiling.	A person throws a cat on the ceiling.	5.000
10	main-captions	MSRvid	2012test	0017	none	none	The man hit the other man with a stick.	The man spanked the other man with a stick.	4.200
11	main-captions	MSRvid	2012test	0018	none	none	A woman picks up and holds a baby kangaroo.	A woman picks up and holds a baby kangaroo in her arms.	4.600
12	main-captions	MSRvid	2012test	0019	none	none	A man is playing a flute.	A man is playing a bamboo flute.	3.867
13	main-captions	MSRvid	2012test	0020	none	none	A person is folding a piece of paper.	Someone is folding a piece of paper.	4.667
14	main-captions	MSRvid	2012test	0021	none	none	A man is running on the road.	A panda dog is running on the road.	1.667
15	main-captions	MSRvid	2012test	0022	none	none	A dog is trying to get bacon off his back.	A dog is trying to eat the bacon on its back.	3.750
16	main-captions	MSRvid	2012test	0025	none	none	The polar bear is sliding on the snow.	A polar bear is sliding across the snow.	5.000
17	main-captions	MSRvid	2012test	0026	none	none	A woman is writing.	A woman is swimming.	0.500
18	main-captions	MSRvid	2012test	0028	none	none	A cat is rubbing against baby's face.	A cat is rubbing against a baby.	3.800
19	main-captions	MSRvid	2012test	0029	none	none	The man is riding a horse.	A man is riding on a horse.	5.000
20	main-captions	MSRvid	2012test	0030	none	none	A man pours oil into a pot.	A man pours wine in a pot.	3.200
21	main-captions	MSRvid	2012test	0031	none	none	A man is playing a guitar.	A girl is playing a guitar.	2.800
22	main-captions	MSRvid	2012test	0032	none	none	A panda is sliding down a slide.	A panda slides down a slide.	4.600
23	main-captions	MSRvid	2012test	0034	none	none	A woman is eating something.	A woman is eating meat.	3.000
24	main-captions	MSRvid	2012test	0035	none	none	A woman peels a potato.	A woman is peeling a potato.	5.000
25	main-captions	MSRvid	2012test	0038	none	none	The boy fell off his bike.	A boy falls off his bike.	4.800
26	main-captions	MSRvid	2012test	0040	none	none	The woman is playing the flute.	A woman is playing a flute.	5.000
27	main-captions	MSRvid	2012test	0042	none	none	A rabbit is running from an eagle.	A hare is running from a eagle.	4.200
28	main-captions	MSRvid	2012test	0044	none	none	The woman is frying a breaded pork chop.	A woman is cooking a breaded pork chop.	4.200
29	main-captions	MSRvid	2012test	0046	none	none	A girl is flying a kite.	A girl running is flying a kite.	4.000
